time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-28T00:01:23.153Z,-2.8864,129.243,10,4,mb,,72,2.846,0.73,us,us7000aheu,2020-07-10T04:23:50.040Z,"61 km NE of Amahai, Indonesia",earthquake,5.6,1.8,0.184,8,reviewed,us,us
2020-06-28T00:02:32.430Z,44.3743333,-115.194,6.13,2.39,ml,13,75,0.315,0.18,mb,mb80443579,2020-06-29T15:30:35.920Z,"69km ESE of Cascade, Idaho",earthquake,0.49,1.34,0.151,10,reviewed,mb,mb
2020-06-28T00:10:01.290Z,38.8213348,-122.8121643,2.79,1.15,md,32,41,0.002626,0.02,nc,nc73417996,2020-06-28T00:18:03.356Z,"7km NW of The Geysers, CA",earthquake,0.19,0.36,0.05,6,automatic,nc,nc
2020-06-28T00:10:13.150Z,34.0248333,-116.7546667,16.59,0.98,ml,33,84,0.04529,0.14,ci,ci39270839,2020-07-02T17:26:25.550Z,"12km NNE of Cabazon, CA",earthquake,0.19,0.4,0.141,16,reviewed,ci,ci
2020-06-28T00:14:42.395Z,61.3829,-150.0055,31.2,1.1,ml,,,,0.48,ak,ak02089otk4l,2020-07-09T06:12:47.432Z,"2 km NNW of Point MacKenzie, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2020-06-28T00:16:58.340Z,38.1797,-117.7838,12,1.1,ml,11,101.39,0.047,0.03,nn,nn00754691,2020-06-28T00:29:02.793Z,"50km WNW of Tonopah, Nevada",earthquake,,4.9,,,automatic,nn,nn
2020-06-28T00:23:09.344Z,59.4472,-152.219,79.9,1.2,ml,,,,0.3,ak,ak02089ovf2e,2020-07-15T23:19:57.281Z,"19 km WNW of Nanwalek, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2020-06-28T00:25:04.090Z,37.6568333,-118.7981667,3.43,0.66,md,8,232,0.02545,0.03,nc,nc73418016,2020-06-28T00:40:03.544Z,"15km NW of Toms Place, CA",earthquake,0.92,1.11,0.339,8,reviewed,nc,nc
2020-06-28T00:25:26.260Z,19.3426666666667,-155.110833333333,4.98,2.12,ml,49,140,,0.16,hv,hv72018807,2020-06-30T00:11:20.070Z,"16km SE of Volcano, Hawaii",earthquake,0.37,0.64,0.157598943363838,15,reviewed,hv,hv
2020-06-28T00:25:31.010Z,19.3911666870117,-155.279159545898,0.170000001788139,1.88999999,md,10,211,,0.289999992,hv,hv72018812,2020-06-28T00:28:44.690Z,"6km SW of Volcano, Hawaii",earthquake,1.45,0.560000002,1.17999995,8,automatic,hv,hv
2020-06-28T00:27:29.590Z,45.9268333,-111.2278333,5.97,1.51,ml,10,176,0.411,0.22,mb,mb80443594,2020-06-28T17:38:53.720Z,"11km NE of Manhattan, Montana",earthquake,1.43,12.46,0.334,4,reviewed,mb,mb
2020-06-28T00:27:40.680Z,37.9818,-118.2807,7,1.1,ml,8,244.96,0.276,0.1,nn,nn00754694,2020-06-28T00:34:30.060Z,"67km SSE of Hawthorne, Nevada",earthquake,,11.7,,,automatic,nn,nn
2020-06-28T00:28:00.500Z,36.473,-117.9846667,7.03,2.15,ml,26,88,0.08378,0.18,ci,ci39270855,2020-07-02T18:11:32.363Z,"15km SSE of Lone Pine, CA",earthquake,0.25,0.62,0.14,24,reviewed,ci,ci
2020-06-28T00:29:27.504Z,38.1597,-117.9247,7.9,2.2,ml,27,50.31,0.034,0.1964,nn,nn00754695,2020-06-28T01:32:52.756Z,"61km W of Tonopah, Nevada",earthquake,,0.7,0.37,12,reviewed,nn,nn
2020-06-28T00:33:02.720Z,7.6225,126.5248,80.43,4.5,mb,,109,1.087,0.87,us,us7000ahev,2020-07-10T05:07:39.040Z,"5 km NNE of Mahanob, Philippines",earthquake,9.3,7,0.09,36,reviewed,us,us
2020-06-28T00:34:21.554Z,62.6904,-151.618,2.8,1.5,ml,,,,0.71,ak,ak02089oxsx2,2020-07-09T06:12:48.705Z,"48 km WNW of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-06-28T00:46:12.339Z,38.1778,-117.7264,2.4,2.4,ml,27,50.68,0.052,0.1764,nn,nn00754699,2020-06-28T01:39:10.555Z,"45km WNW of Tonopah, Nevada",earthquake,,0.9,0.38,12,reviewed,nn,nn
2020-06-28T00:47:54.856Z,51.7855,-179.902,97.22,3.6,mb,,122,0.325,0.5,us,us7000akkh,2020-07-10T05:23:25.040Z,"225 km W of Adak, Alaska",earthquake,6.9,9.6,0.111,20,reviewed,us,us
2020-06-28T00:49:33.839Z,38.1798,-117.7244,2.6,2.2,ml,28,50.76,0.051,0.1917,nn,nn00754703,2020-06-28T01:45:25.053Z,"45km WNW of Tonopah, Nevada",earthquake,,1,0.31,13,reviewed,nn,nn
2020-06-28T00:55:59.976Z,10.0151,56.8937,10,4.6,mb,,99,13.884,0.85,us,us7000adah,2020-07-10T05:37:08.040Z,"Carlsberg Ridge",earthquake,8.5,1.8,0.058,89,reviewed,us,us
2020-06-28T01:06:31.074Z,38.1778,-117.9558,2.7,2.1,ml,27,54.43,0.031,0.1907,nn,nn00754708,2020-06-29T02:18:00.529Z,"64km W of Tonopah, Nevada",earthquake,,0.8,0.56,12,reviewed,nn,nn
2020-06-28T01:07:02.500Z,45.1243333,-116.5543333,8.37,2.24,ml,10,82,0.394,0.18,mb,mb80443604,2020-06-28T17:30:06.810Z,"43km WNW of McCall, Idaho",earthquake,0.51,0.83,0.148,7,reviewed,mb,mb
2020-06-28T01:07:15.721Z,63.4235,-151.3235,13.1,0.8,ml,,,,0.73,ak,ak02089pdbbr,2020-07-09T06:12:51.089Z,"23 km ESE of Denali National Park, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-06-28T01:20:46.820Z,33.6545,-116.7636667,15.62,0.77,ml,13,83,0.06065,0.1,ci,ci39270887,2020-06-29T13:43:59.341Z,"10km SSW of Idyllwild, CA",earthquake,0.37,0.64,0.316,13,reviewed,ci,ci
2020-06-28T01:22:00.960Z,35.6621667,-117.5268333,2.08,1.11,ml,21,75,0.1486,0.19,ci,ci39270895,2020-06-28T01:45:00.022Z,"14km ENE of Ridgecrest, CA",earthquake,0.33,0.58,0.253,14,reviewed,ci,ci
2020-06-28T01:29:53.490Z,38.8408318,-122.8125,4.08,0.57,md,8,91,0.0162,0.02,nc,nc73418031,2020-06-28T01:44:03.929Z,"8km WNW of Cobb, CA",earthquake,0.76,1.68,,1,automatic,nc,nc
2020-06-28T01:30:09.821Z,62.4733,-152.2984,116.6,1.2,ml,,,,0.28,ak,ak02089picqe,2020-07-09T06:14:13.576Z,"71 km NW of Skwentna, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2020-06-28T01:30:58.260Z,36.4418333,-117.9385,8.34,1.81,ml,19,135,0.1142,0.22,ci,ci39270903,2020-06-29T13:43:57.317Z,"19km NNE of Olancha, CA",earthquake,0.49,1.16,0.159,22,reviewed,ci,ci
2020-06-28T01:37:32.290Z,49.2298333333333,-125.331,4.94,1.83,ml,7,244,0.3355,0.6,uw,uw61638692,2020-07-01T19:08:36.440Z,"35 km NNE of Ucluelet, Canada",earthquake,3.31,50.51,0.280153327761296,4,reviewed,uw,uw
